Audiofile,start,end,class
test.wav,90.91,91.03,foreground
test.wav,91.03,91.05,background
test.wav,91.05,91.06,foreground
test.wav,91.06,91.08,background
test.wav,91.08,91.09,foreground
test.wav,91.09,91.1,background
test.wav,91.1,91.11,foreground
test.wav,91.11,91.12,background
test.wav,91.12,91.13,foreground
test.wav,91.13,91.26,background
test.wav,91.26,91.28,foreground
test.wav,91.28,91.3,background
test.wav,91.3,91.31,foreground
test.wav,91.31,91.35,background
test.wav,91.35,91.38,foreground
test.wav,91.38,91.39,background
test.wav,91.39,91.45,foreground
test.wav,91.45,91.46,background
test.wav,91.46,92.89,foreground
test.wav,92.89,92.9,background
test.wav,92.9,93.7,foreground
test.wav,93.7,93.71,background
test.wav,93.71,93.72,foreground
test.wav,93.72,93.73,background
test.wav,93.73,93.77,foreground
test.wav,93.77,93.79,background
test.wav,93.79,93.81,foreground
test.wav,93.81,93.82,background
test.wav,93.82,93.84,foreground
test.wav,93.84,93.85,background
test.wav,93.85,93.89,foreground
test.wav,93.89,93.9,background
test.wav,93.9,93.97,foreground
test.wav,93.97,94.0,background
test.wav,94.0,94.04,foreground
test.wav,94.04,94.05,background
test.wav,94.05,94.17,foreground
test.wav,94.17,94.18,background
test.wav,94.18,95.07,foreground
test.wav,95.07,95.08,background
test.wav,95.08,95.12,foreground
test.wav,95.12,95.13,background
test.wav,95.13,95.14,foreground
test.wav,95.14,95.17,background
test.wav,95.17,95.18,foreground
test.wav,95.18,95.2,background
test.wav,95.2,95.21,foreground
test.wav,95.21,95.22,background
test.wav,95.22,95.24,foreground
test.wav,95.24,95.26,background
test.wav,95.26,95.27,foreground
test.wav,95.27,95.28,background
test.wav,95.28,95.29,foreground
test.wav,95.29,95.3,background
test.wav,95.3,95.37,foreground
test.wav,95.37,95.38,background
test.wav,95.38,95.4,foreground
test.wav,95.4,95.46,background
test.wav,95.46,95.48,foreground
test.wav,95.48,95.5,background
test.wav,95.5,95.52,foreground
test.wav,95.52,95.55,background
test.wav,95.55,95.56,foreground
test.wav,95.56,95.59,background
test.wav,95.59,95.6,foreground
test.wav,95.6,95.9,background
test.wav,95.9,95.91,foreground
test.wav,95.91,95.96,background
test.wav,95.96,95.98,foreground
test.wav,95.98,96.01,background
test.wav,96.01,96.05,foreground
test.wav,96.05,96.06,background
test.wav,96.06,96.1,foreground
test.wav,96.1,96.2,background
test.wav,96.2,96.23,foreground
test.wav,96.23,96.24,background
test.wav,96.24,96.25,foreground
test.wav,96.25,96.29,background
test.wav,96.29,96.31,foreground
test.wav,96.31,96.32,background
test.wav,96.32,96.33,foreground
test.wav,96.33,96.34,background
test.wav,96.34,96.36,foreground
test.wav,96.36,96.37,background
test.wav,96.37,96.38,foreground
test.wav,96.38,96.4,background
test.wav,96.4,96.41,foreground
test.wav,96.41,96.45,background
test.wav,96.45,96.47,foreground
test.wav,96.47,96.48,background
test.wav,96.48,96.49,foreground
test.wav,96.49,96.5,background
test.wav,96.5,96.53,foreground
test.wav,96.53,96.57,background
test.wav,96.57,96.58,foreground
test.wav,96.58,96.6,background
test.wav,96.6,96.62,foreground
test.wav,96.62,96.69,background
test.wav,96.69,96.7,foreground
test.wav,96.7,96.73,background
test.wav,96.73,96.74,foreground
test.wav,96.74,96.75,background
test.wav,96.75,96.76,foreground
test.wav,96.76,96.78,background
test.wav,96.78,96.79,foreground
test.wav,96.79,96.81,background
test.wav,96.81,96.84,foreground
test.wav,96.84,96.97,background
test.wav,96.97,97.02,foreground
test.wav,97.02,97.03,background
test.wav,97.03,97.05,foreground
test.wav,97.05,97.06,background
test.wav,97.06,97.1,foreground
test.wav,97.1,97.11,background
test.wav,97.11,97.12,foreground
test.wav,97.12,97.14,background
test.wav,97.14,97.15,foreground
test.wav,97.15,97.21,background
test.wav,97.21,97.23,foreground
test.wav,97.23,97.25,background
